,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
IA,0,0,0.0,2.1062321266425432e-17,0.0,0.0016281475385444412,4.310996755864454e-17,0.07234729855174313,0.08243992205558576,1.020691642100377e-16,0.0,0.03558635208202723,1.5831792549108707e-16,1.4681797934074838e-16,0.05920631095404166,0.0,1.0415930271068241e-15,0.0,0.038232455615247234,0.05545533373995977,0.0,0.0,0.01127872565950121,0.0,1.0388689691484543e-16,0.020487669990081267,0.13250175615800494
KS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0,0,0.0,0.01316291004963394,3.604294597156499e-17,0.06228771577834998,0.19893811090711816,0.0,0.013826903075815057,0.0,0.0,0.0,0.018571242683245146,1.8987429358831298e-16,0.0034054648538759573,0.08730384158354278,9.866917395975894e-16,0.0,0.038457148487116864,7.198543383558562e-16,2.716570187116102e-16,0.35425589374206107,0.05655888101471936,0.19194421064503092,7.303456884405479e-17,3.097218822118611e-17,0.01338338122319011
MD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0,0,3.3208227654331983e-16,0.12733068889211968,0.004037479361407244,0.0,2.756271864764825e-16,1.3368775241545094e-16,4.610560861662617e-18,0.04466554879774774,0.030855913434184173,0.1214192578923837,0.07318677800820618,1.226426028339278e-16,0.03291947158673786,2.8054859797591835e-16,0.13158648040349774,0.0,0.03918843251568745,0.022231492891722826,3.338210501756496e-16,1.9715585267188036e-17,0.0008883263093359678,0.0,0.05310984331667763,1.5712967863303242e-17,0.003192030513199237
MO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0,0,0.128290031658636,0.02028394422364789,0.11710937981859557,2.4286386510903067e-17,3.628445300998686e-16,0.10666613768847479,0.09133889856348554,0.0,0.05087277609205995,0.0,0.00501772592660937,0.0,0.038489660646667825,0.006857793755941689,0.0,0.0,0.036770540096173164,1.9503103017119716e-16,0.0,0.0,0.0011895224294124318,0.0,0.0,0.06650926259680963,0.0
NE,0,0,0.01693458964093112,0.0,0.0,0.0849524211808662,7.865195171610206e-17,1.0304921119463381e-17,0.057125213204102715,0.0,0.011441830595994263,0.0,1.0125618529816922e-16,0.0,0.07420713715357118,0.08797838054844791,1.6185376606678292e-15,0.009582420755224136,0.038133936416742745,0.06660185418363707,0.0,0.11452231821952343,0.01835985733248179,0.10333221017934993,0.0,0.01643833439513633,0.11401481040779543
NV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0,0,2.3218407432564538e-16,0.03770718958747559,0.19202580082959778,1.3648867488063806e-16,0.11233708279661479,0.0,0.05085679056071385,0.16857809982019642,0.0036985827251403776,0.04144847746565017,4.8396024750005834e-17,0.0,0.05101423197810383,2.0499424114475674e-16,0.40045192628142146,0.03700117243167519,0.038459245482416145,0.09151369472803747,0.0,0.0,0.06550271377586712,1.2612781850127116e-16,0.12123446850095916,4.126113900754308e-18,2.2064158538673243e-16
OH,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OK,0,0,0.0,4.256340559952859e-17,6.742382260144231e-17,2.572207079992653e-17,2.884351935256474e-17,0.0,0.0,0.0,0.000591874639999413,0.0,0.1424249473244957,0.0,0.03168621289592312,1.3304003832270124e-16,0.0,2.564604410712329e-16,0.03921777779574435,2.85605957286994e-16,0.0,7.903070644286677e-17,0.022135999365393087,0.0,0.0,0.041807238444459834,2.1664394622369056e-17
OR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
