,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-06-27,91.84771491816073,82.12594424738941,82.76039208019085,91.50075703189897,86.79681076727161,83.5779130228816,91.93096877421071,84.93708139645278,83.83822886523112,87.44390383999018,84.61376395144573,87.0698345001027,86.98375710237661,90.03284918069122,79.44443792166715,92.85980446214757,84.39337401291145,80.68592268881193,79.91340547869378,89.80410106048022,91.86552571300028,94.40181964051163,78.61664895353756,79.74267617055044,83.68827238779313,95.07657640405526,97.84961264235673
2021-06-28,91.86677321080946,82.15206983402527,82.77092912043771,91.51828763830396,86.81663255182099,83.58643614475825,91.94450881760609,84.95203178841118,83.86491430736969,87.47052395987895,84.63592402103318,87.08966025074005,87.00488333523562,90.04036983431472,79.48209593804899,92.88306323716125,84.4109954942041,80.72632114760226,79.9256071569828,89.81554634628237,91.86552571300028,94.41712035170647,78.67194274075925,79.80565258416749,83.702035542942,95.10116323667243,97.86354898277712
2021-06-29,91.87523506402466,82.21892719415526,82.83365088199557,91.51828763830396,86.8672688684215,83.62324880996276,91.95804886100147,85.0172554507167,83.93362210834003,87.5108522578151,84.67212733031185,87.10409795305864,87.05584334498539,90.1064495083997,79.60677990528531,92.90480749877757,84.51077409847188,80.79554292026646,79.97000829076283,89.8717473505494,91.88226467151866,94.41712035170647,78.72723652798092,79.86854464419652,83.73890443639924,95.10116323667243,97.8656288684989
2021-06-30,91.91962998713227,82.28014112323098,82.8742547002557,91.57804033934929,86.91321619201817,83.65965378412609,92.00466348530138,85.06014251852051,83.98545402478695,87.66519888463161,84.74922799724457,87.16022977435419,87.102453397278,90.15580005511482,79.66912188890349,92.94315635474216,84.56885474663243,80.85514446147612,80.03178517385648,89.89726064732267,91.94205285534504,94.43370408346078,78.82723652798093,79.89473127113588,83.7858751505682,95.1191845952905,97.89534855945611
2021-07-01,91.97158751132406,82.36758991913025,82.96717838259174,91.60482454042113,86.99679744112,83.72324880996277,92.02050310526614,85.21247766950934,84.07250443825156,87.72745752665125,84.97518464824735,87.18810319808784,87.17834395498895,90.18790807563535,79.84785290324709,92.96651414383778,84.72081865861536,81.19319752242286,80.59034759516325,89.92529149111172,91.94365506873318,94.44900479465562,78.9493517110576,80.325839351235,83.84972862264124,95.14377142790768,97.90373536245058
2021-07-02,91.99799814570325,82.42540490080239,83.01406792919745,91.66457724146649,87.03516931735882,83.75965378412609,92.06711772956606,85.24011437545124,84.08361062877177,87.77294206932869,85.0103501925909,87.2602297743542,87.21366843851632,90.22958383342824,79.85660079372971,92.99464119850757,84.75705221946698,81.24161051924129,80.64016310151904,89.9406635602044,92.01697778430166,94.46558852640993,78.99405792383591,80.36262913791269,83.8858751505682,95.16179278652575,97.92913618734175
2021-07-03,92.01336309291607,82.45465197293441,83.29215176325528,91.66457724146649,87.09553322720848,84.13841724538499,92.0944552323778,85.38012429009164,84.24801038858442,87.83288218022686,85.1306055501479,87.28272842731944,87.27161084060519,90.24863996096465,79.9478529032471,93.01651061004522,84.85217777260901,81.33273030450668,80.70374380544088,89.9572491181913,92.01697778430166,94.46558852640993,79.03876413661423,80.6929780357198,84.06009943948304,95.16179278652575,97.93752299033623
2021-07-04,92.06883172203514,82.49439148815424,83.33194692897308,91.73358353717867,87.13797169226916,84.21396577812219,92.15458569588041,85.41968258248326,84.26214503582547,87.87768368565122,85.1618709679777,87.33925910498678,87.31212928164912,90.29293485684099,79.95660079372972,93.07013651830937,84.90898602413674,81.36137691028321,80.7141416629017,89.97262118728399,92.09030049987014,94.48217225816425,79.03876413661423,80.76679140878045,84.10107560073257,95.17981414514381,97.96283198071235
2021-07-05,92.08789001468386,82.4982561471621,83.33949055331254,91.75111414358366,87.14794846425984,84.22248889999885,92.15460990007308,85.4240194384037,84.28726979978362,87.89943554224513,85.18575185205341,87.35690376085547,87.32485983411974,90.31587384207549,79.98551091962894,93.07192193811316,84.93163789486583,81.37835302713269,80.7162628183472,90.00065203107305,92.09030049987014,94.4974729693591,79.03876413661423,80.76679140878045,84.11483875588144,95.20440097776098,97.96283198071235
2021-07-06,92.09173125148706,82.50201816526474,83.3525965009737,91.75111414358366,87.15336516984112,84.22248889999885,92.15463410426575,85.42611063521247,84.30716727062259,87.91196126285949,85.21639967558835,87.35771440675943,87.32981730248933,90.31587384207549,79.98551091962894,93.07202095219509,84.93163789486583,81.37835302713269,80.75599780185946,90.00065203107305,92.09030049987014,94.4974729693591,79.04483880896468,80.76679140878045,84.14236343528485,95.20440097776098,97.96932256701521
2021-07-07,92.09173125148706,82.60659599218548,83.37185793765019,91.75111414358366,87.20726851738503,84.22248889999885,92.15465830845842,85.45930742083239,84.30716727062259,87.95307681804684,85.2249787330327,87.38224693701738,87.37772669923123,90.32944158731863,79.98551091962894,93.07846202567245,84.99742543203531,81.37835302713269,80.75631513647674,90.00709636137937,92.10703945838851,94.4974729693591,79.37660153229474,80.9239111704166,84.14236343528485,95.20440097776098,97.96932256701521
2021-07-08,92.10995569190995,82.78876742330779,83.46063332537987,91.7644991521631,87.26065967835625,84.29634898294161,92.18327417572912,85.68632363725963,84.60232908932896,88.02999982672226,85.36471975125428,87.44016379416696,87.46217154618247,90.36815485632755,80.74236261352954,93.11139682469053,85.07043610170692,81.84209665993632,81.070633437809,90.03260965815262,92.11792174027212,94.4974729693591,79.47660153229477,81.02359301712332,84.29756687410911,95.20440097776098,97.98524695864228
2021-07-09,92.15104111740932,82.82543871955224,83.49048716274656,91.82012043929586,87.27668865483348,84.31396577812221,92.2171125527231,85.70166699583413,84.63599535875261,88.07170830679978,85.4008262479029,87.46121168410428,87.48411063651234,90.38796116931975,80.77127273942875,93.1325489307885,85.09506080395924,81.87361490399205,81.07275459325452,90.03260965815262,92.16842985560302,94.5140567011134,79.47660153229477,81.0239111704166,84.3460128300766,95.22242233637905,98.00301836038578
2021-07-10,92.1692655578322,82.85533625056313,83.5443068460834,91.8335054478753,87.32143625116358,84.3815216352585,92.2434288434244,85.74544346583016,84.66248997824142,88.11240412979954,85.4543293915845,87.50153280003904,87.52174664924287,90.41899964940644,80.78002062991138,93.17139092818952,85.13976926711453,81.90748577360421,81.1225700996103,90.04798172724531,92.19284666922874,94.5140567011134,79.52130774507307,81.09740639018396,84.36961995856278,95.22242233637905,98.01903458652794
2021-07-11,92.18980701623948,82.90475683874757,83.5582215809437,91.86246936289409,87.33628620987152,84.39348764329648,92.25970312216958,85.75181533251062,84.69615624766507,88.13978468424318,85.48721784822989,87.53735825116615,87.53816779462606,90.4204300967361,80.8089307558106,93.18622503614998,85.13976926711453,81.93900401765995,81.12469125505581,90.04798172724531,92.21475230181561,94.53064043286771,79.52130774507307,81.09740639018396,84.37381604599118,95.24044369499714,98.02643793080921
2021-07-12,92.22892222249854,82.92170934794827,83.59576937994723,91.90263857254538,87.37210479448879,84.47189751567882,92.2724793694755,85.78175976957739,84.70018871126021,88.16082699202664,85.51996841872774,87.59451337706565,87.56871493513606,90.47993116373405,80.8089307558106,93.18818234827825,85.2322747426711,81.95877040870187,81.16410890395078,90.10797019811395,92.23916911544133,94.54594114406255,79.52738241742352,81.13442997656692,84.42786916718222,95.2650305276143,98.02842598201589
2021-07-13,92.24301309999122,82.97112665458813,83.6216613345061,91.92004234999249,87.3996631384812,84.47189751567882,92.30585888349641,85.8104011797044,84.74247511536731,88.19140335084961,85.53861058012458,87.60371389480771,87.60084520246266,90.49830702939661,80.87127273942876,93.21660659080203,85.2567580035004,81.99860555886961,81.18615080353216,90.10797019811395,92.26777159818538,94.54594114406255,79.63796999186688,81.18680323044563,84.46606771476206,95.2650305276143,98.05074232869183
2021-07-14,92.26669200905195,83.18758426468744,83.86005522245806,91.93757295639747,87.56779725776111,84.49004475713514,92.30585888349641,85.98831921305562,84.77016456438018,88.24324793948382,85.57332023544612,87.7260782904963,87.74981068232533,90.59143704616085,80.90893075581059,93.22922056523763,85.46740211050732,82.05877040870186,81.19803514720391,90.1194154839161,92.30942914627693,94.56124185525739,79.67660153229475,81.22359301712332,84.48338311371164,95.28961736023146,98.05723291499469
2021-07-15,92.30468852567745,83.2257452455818,83.90205008347385,91.9684402711402,87.61633981323232,84.5593427768041,92.36826471937576,86.02533282879708,84.80225581482239,88.28211406147344,85.62870762180783,87.77581752839208,87.79628873725325,90.63095666197584,80.90893075581059,93.27838611410479,85.51647863035222,82.05877040870186,81.23745279609888,90.13478755300879,92.36244844264667,94.57320972307733,79.73796999186688,81.28648507715235,84.5076340858255,95.2927815791218,98.08153731287732
2021-07-16,92.32984311177741,83.25792661595489,83.95866139676845,92.00657925210966,87.64289891206865,84.60871018088332,92.36826471937576,86.05577226192564,84.85169070267204,88.32058405974628,85.67109272122079,87.79767606423334,87.82388929278208,90.64155614459152,80.9378408817098,93.28931368281852,85.54879146476235,82.09551291659324,81.23925661692711,90.13478755300879,92.38595628862167,94.5778255870117,79.73796999186688,81.3235086635353,84.57091500369002,95.30763871884953,98.08894065715859
2021-07-17,92.36399839159972,83.32909197964858,83.99368845590685,92.03736803813621,87.69150107713632,84.63945337281511,92.41645363288646,86.09120974611126,84.85425538772675,88.36450581774758,85.71418147380406,87.85496352763182,87.86851368009805,90.68180145505475,80.94658877219243,93.32461385983218,85.59382675962314,82.16369230445359,81.3154108965175,90.15015962210147,92.4373733716033,94.5778255870117,79.83796999186687,81.38648507715236,84.5790009750718,95.30763871884955,98.0994005491359
2021-07-18,92.3703967980818,83.3561611426655,84.0340741558854,92.066331953155,87.72417268725535,84.6882320460576,92.45210482860803,86.11602899368951,84.89195412074554,88.38749228579235,85.73992180130449,87.87519308015995,87.90130075672442,90.6832319023844,80.97549889809163,93.36038744790811,85.60230166192682,82.20043481234497,81.37052693304955,90.15015962210147,92.45927900419017,94.59440931876603,79.83796999186687,81.42319051024204,84.59856790153898,95.32566007746762,98.11632953325646
2021-07-19,92.4076795311534,83.3561611426655,84.07522192574471,92.09724756813942,87.76469710363914,84.72749835986606,92.46357038636133,86.14362100212757,84.9128555984588,88.4161387586386,85.78719845644184,87.92976825491897,87.9350075392821,90.76030248823884,80.97549889809164,93.37310043642564,85.69530645960616,82.20043481234497,81.4166086089075,90.22028932065069,92.47016128607378,94.60971002996087,79.88267620464521,81.42319051024204,84.64794170747302,95.35024691008478,98.12074023383758
